,tpr,fpr
436,0.132960526,0.000405507
437,0.133289474,0.000405507
438,0.133289474,0.000407142
439,0.133289474,0.000408777
440,0.133421053,0.000408777
441,0.133421053,0.000410412
442,0.133486842,0.000410412
443,0.133486842,0.000412047
444,0.13375,0.000412047
445,0.13375,0.000413683
446,0.133815789,0.000413683
447,0.133815789,0.000416953
448,0.134407895,0.000416953
449,0.134407895,0.000418588
450,0.134473684,0.000418588
451,0.134473684,0.000420223
452,0.134605263,0.000420223
453,0.134605263,0.000423493
454,0.134802632,0.000423493
455,0.134802632,0.000426763
456,0.135131579,0.000426763
457,0.135131579,0.000428399
458,0.135526316,0.000428399
459,0.135526316,0.000431669
460,0.136052632,0.000431669
461,0.136052632,0.000433304
462,0.13625,0.000433304
463,0.13625,0.000434939
464,0.136578947,0.000434939
465,0.136578947,0.000438209
466,0.136644737,0.000438209
467,0.136644737,0.000441479
468,0.136907895,0.000441479
469,0.136907895,0.00044475
470,0.137368421,0.00044475
471,0.137368421,0.000446385
472,0.137434211,0.000446385
473,0.137434211,0.000449655
474,0.137697368,0.000449655
475,0.137697368,0.00045129
476,0.137763158,0.00045129
477,0.137763158,0.000452925
478,0.137894737,0.000452925
479,0.137894737,0.000456195
480,0.138289474,0.000456195
481,0.138289474,0.000457831
482,0.138552632,0.000457831
483,0.138552632,0.000459466
484,0.138618421,0.000459466
485,0.138618421,0.000461101
486,0.13875,0.000461101
487,0.13875,0.000462736
488,0.138815789,0.000462736
489,0.138815789,0.000464371
490,0.138881579,0.000464371
491,0.138881579,0.000466006
492,0.139013158,0.000466006
493,0.139013158,0.000467641
494,0.139078947,0.000467641
495,0.139078947,0.000469276
496,0.139407895,0.000469276
497,0.139407895,0.000470911
498,0.139539474,0.000470911
499,0.139539474,0.000474182
500,0.139671053,0.000474182
501,0.139671053,0.000475817
502,0.139736842,0.000475817
503,0.139736842,0.000477452
504,0.139934211,0.000477452
505,0.139934211,0.000479087
506,0.140197368,0.000479087
507,0.140197368,0.000482357
508,0.141118421,0.000482357
509,0.141118421,0.000483992
510,0.141381579,0.000483992
511,0.141381579,0.000487263
512,0.141513158,0.000487263
513,0.141513158,0.000488898
514,0.141776316,0.000488898
515,0.141776316,0.000490533
516,0.141907895,0.000490533
517,0.141907895,0.000493803
518,0.142236842,0.000493803
519,0.142236842,0.000495438
520,0.142302632,0.000495438
521,0.142302632,0.000497073
522,0.1425,0.000497073
523,0.1425,0.000498708
524,0.143223684,0.000498708
525,0.143223684,0.000501978
526,0.143355263,0.000501978
527,0.143355263,0.000506884
528,0.143684211,0.000506884
529,0.143684211,0.000508519
530,0.144144737,0.000508519
531,0.144144737,0.000511789
532,0.144539474,0.000511789
533,0.144539474,0.000513424
534,0.144802632,0.000513424
535,0.144802632,0.000515059
536,0.144934211,0.000515059
537,0.144934211,0.000516694
538,0.145197368,0.000516694
539,0.145197368,0.000519965
540,0.145263158,0.000519965
541,0.145263158,0.000523235
542,0.145460526,0.000523235
543,0.145460526,0.00052487
544,0.145526316,0.00052487
545,0.145526316,0.000526505
546,0.145592105,0.000526505
547,0.145592105,0.000529775
548,0.145657895,0.000529775
549,0.145657895,0.000533046
550,0.145855263,0.000533046
551,0.145855263,0.000536316
552,0.145986842,0.000536316
553,0.145986842,0.000539586
554,0.146447368,0.000539586
555,0.146447368,0.000541221
556,0.146710526,0.000541221
557,0.146710526,0.000542856
558,0.146907895,0.000542856
559,0.146907895,0.000544491
560,0.147171053,0.000544491
561,0.147171053,0.000546126
562,0.147302632,0.000546126
563,0.147302632,0.000547762
564,0.147631579,0.000547762
565,0.147631579,0.000549397
566,0.147763158,0.000549397
567,0.147763158,0.000551032
568,0.147894737,0.000551032
569,0.147894737,0.000552667
570,0.148026316,0.000552667
571,0.148026316,0.000555937
572,0.148223684,0.000555937
573,0.148223684,0.000559207
574,0.148289474,0.000559207
575,0.148289474,0.000560842
576,0.148421053,0.000560842
577,0.148421053,0.000565748
578,0.148552632,0.000565748
579,0.148552632,0.000567383
580,0.148881579,0.000567383
